datetime,30746200,官厅水库坝下5min流量摘录,斋堂水库5min流量摘录,雁翅5min洪水流量摘录,官厅水库5min蒸发,30746400,30746450,30746600,30746700,30746750,30746900,30747000,30747100,30747200,30747300,30747350,30747370,30747400,30747420,30747500,30747530,30747600,30747635,30747660,30747700,30747800,30747850
2023-07-30 00:00:00,0.4,3.88,60.0,3.18,0.0056,0.2,7.0,2.0,0.4,1.0,1.5,0.3,3.0,0.8,0.3,0.6,1.5,0.9,1.5,0.6,1.5,2.3,0.0,3.5,1.5,0.0,0.0
2023-07-30 00:05:00,0.42,0.74,60.0,3.18,0.0056,0.24,6.67,2.05,0.4,1.04,1.45,0.31,3.04,0.86,0.3,0.58,1.42,0.85,1.42,0.56,1.38,2.33,0.0,3.29,1.4,0.08,0.01
2023-07-30 00:10:00,0.43,0.74,60.0,3.18,0.0056,0.28,6.33,2.1,0.4,1.08,1.4,0.32,3.08,0.92,0.3,0.57,1.33,0.8,1.33,0.52,1.25,2.37,0.0,3.08,1.3,0.15,0.02
2023-07-30 00:15:00,0.45,0.74,60.0,3.18,0.0056,0.32,6.0,2.15,0.4,1.12,1.35,0.32,3.12,0.98,0.3,0.55,1.25,0.75,1.25,0.48,1.12,2.4,0.0,2.88,1.2,0.22,0.02
2023-07-30 00:20:00,0.47,0.74,60.0,3.18,0.0056,0.37,5.67,2.2,0.4,1.17,1.3,0.33,3.17,1.03,0.3,0.53,1.17,0.7,1.17,0.43,1.0,2.43,0.0,2.67,1.1,0.3,0.03
2023-07-30 00:25:00,0.48,0.74,60.0,3.18,0.0056,0.41,5.33,2.25,0.4,1.21,1.25,0.34,3.21,1.09,0.3,0.52,1.08,0.65,1.08,0.39,0.88,2.47,0.0,2.46,1.0,0.38,0.04
2023-07-30 00:30:00,0.5,0.74,60.0,3.18,0.0056,0.45,5.0,2.3,0.4,1.25,1.2,0.35,3.25,1.15,0.3,0.5,1.0,0.6,1.0,0.35,0.75,2.5,0.0,2.25,0.9,0.45,0.05
2023-07-30 00:35:00,0.52,0.74,59.52,3.18,0.0056,0.49,4.67,2.35,0.4,1.29,1.15,0.36,3.29,1.21,0.3,0.48,0.92,0.55,0.92,0.31,0.62,2.53,0.0,2.04,0.8,0.52,0.06
2023-07-30 00:40:00,0.53,0.74,59.05,3.18,0.0056,0.53,4.33,2.4,0.4,1.33,1.1,0.37,3.33,1.27,0.3,0.47,0.83,0.5,0.83,0.27,0.5,2.57,0.0,1.83,0.7,0.6,0.07
2023-07-30 00:45:00,0.55,0.74,58.57,3.18,0.0056,0.57,4.0,2.45,0.4,1.38,1.05,0.38,3.38,1.32,0.3,0.45,0.75,0.45,0.75,0.22,0.38,2.6,0.0,1.62,0.6,0.68,0.08
2023-07-30 00:50:00,0.57,0.74,58.09,3.18,0.0056,0.62,3.67,2.5,0.4,1.42,1.0,0.38,3.42,1.38,0.3,0.43,0.67,0.4,0.67,0.18,0.25,2.63,0.0,1.42,0.5,0.75,0.08
2023-07-30 00:55:00,0.58,0.74,57.62,3.18,0.0056,0.66,3.33,2.55,0.4,1.46,0.95,0.39,3.46,1.44,0.3,0.42,0.58,0.35,0.58,0.14,0.12,2.67,0.0,1.21,0.4,0.82,0.09
2023-07-30 01:00:00,0.6,0.74,57.14,3.18,0.0056,0.7,3.0,2.6,0.4,1.5,0.9,0.4,3.5,1.5,0.3,0.4,0.5,0.3,0.5,0.1,0.0,2.7,0.0,1.0,0.3,0.9,0.1
2023-07-30 01:05:00,0.65,0.74,56.66,3.18,0.0056,0.64,2.88,2.43,0.45,1.46,0.89,0.38,3.5,1.48,0.27,0.46,0.5,0.28,0.54,0.1,0.04,2.53,0.0,1.0,0.29,0.88,0.11
2023-07-30 01:10:00,0.7,0.74,56.18,3.18,0.0056,0.58,2.75,2.25,0.5,1.42,0.88,0.35,3.5,1.45,0.25,0.52,0.5,0.27,0.58,0.1,0.08,2.35,0.0,1.0,0.28,0.85,0.12
2023-07-30 01:15:00,0.75,0.74,55.71,3.18,0.0056,0.52,2.62,2.08,0.55,1.38,0.88,0.32,3.5,1.42,0.22,0.58,0.5,0.25,0.62,0.1,0.12,2.18,0.0,1.0,0.28,0.82,0.12
2023-07-30 01:20:00,0.8,0.74,55.23,3.18,0.0056,0.47,2.5,1.9,0.6,1.33,0.87,0.3,3.5,1.4,0.2,0.63,0.5,0.23,0.67,0.1,0.17,2.0,0.0,1.0,0.27,0.8,0.13
2023-07-30 01:25:00,0.85,0.74,54.75,3.18,0.0056,0.41,2.38,1.72,0.65,1.29,0.86,0.28,3.5,1.38,0.18,0.69,0.5,0.22,0.71,0.1,0.21,1.83,0.0,1.0,0.26,0.78,0.14
2023-07-30 01:30:00,0.9,0.74,54.28,3.18,0.0056,0.35,2.25,1.55,0.7,1.25,0.85,0.25,3.5,1.35,0.15,0.75,0.5,0.2,0.75,0.1,0.25,1.65,0.0,1.0,0.25,0.75,0.15
2023-07-30 01:35:00,0.95,0.74,53.8,3.18,0.0056,0.29,2.12,1.38,0.75,1.21,0.84,0.22,3.5,1.32,0.12,0.81,0.5,0.18,0.79,0.1,0.29,1.48,0.0,1.0,0.24,0.72,0.16
2023-07-30 01:40:00,1.0,0.74,53.32,3.18,0.0056,0.23,2.0,1.2,0.8,1.17,0.83,0.2,3.5,1.3,0.1,0.87,0.5,0.17,0.83,0.1,0.33,1.3,0.0,1.0,0.23,0.7,0.17
2023-07-30 01:45:00,1.05,0.74,52.85,3.18,0.0056,0.18,1.88,1.02,0.85,1.12,0.82,0.18,3.5,1.27,0.08,0.92,0.5,0.15,0.88,0.1,0.38,1.12,0.0,1.0,0.22,0.68,0.18
2023-07-30 01:50:00,1.1,0.74,52.37,3.18,0.0056,0.12,1.75,0.85,0.9,1.08,0.82,0.15,3.5,1.25,0.05,0.98,0.5,0.13,0.92,0.1,0.42,0.95,0.0,1.0,0.22,0.65,0.18
2023-07-30 01:55:00,1.15,0.74,51.89,3.18,0.0056,0.06,1.62,0.68,0.95,1.04,0.81,0.12,3.5,1.23,0.03,1.04,0.5,0.12,0.96,0.1,0.46,0.78,0.0,1.0,0.21,0.62,0.19
